time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
9.85,2.02,2.3,42.62,3.95
9.86,2.14,2.35,45.06,3.91
9.88,2.18,2.41,45.8,3.88
9.89,2.4,2.47,49.22,3.89
9.9,2.39,2.53,49.22,3.9
9.92,2.3,2.6,48.48,3.9
9.93,2.4,2.64,50.44,3.91
9.94,2.46,2.71,51.66,3.89
9.96,2.68,2.75,55.08,3.89
9.97,2.61,2.8,53.86,3.88
9.98,2.57,2.85,54.11,3.87
10,2.68,2.93,56.06,3.84
10.01,2.74,2.99,57.28,3.88
10.02,2.96,3.06,60.7,3.88
10.04,2.86,3.11,59.48,3.92
10.05,2.86,3.15,59.97,3.89
10.06,2.96,3.22,61.68,3.85
10.08,3.02,3.27,63.15,3.88
10.09,3.23,3.34,66.32,3.86
10.1,3.12,3.4,64.86,3.89
10.12,3.15,3.45,65.84,3.9
10.13,3.24,3.52,67.55,3.88
10.14,3.33,3.57,69.26,3.91
10.16,3.51,3.62,71.95,3.89
10.17,3.38,3.68,69.99,3.87
10.18,3.44,3.74,71.46,3.88
10.2,3.52,3.8,73.17,3.89
10.21,3.63,3.87,75.37,3.9
10.22,3.79,3.91,77.57,3.91
10.24,3.66,3.98,75.61,3.89
10.25,3.73,4.04,77.57,3.91
10.26,3.79,4.09,78.79,3.91
10.27,3.94,4.16,81.23,3.9
10.29,4.05,4.21,82.7,3.95
10.3,3.9,4.26,80.74,3.93
10.31,4,4.29,83.19,3.92
10.33,4.06,4.34,84.16,3.89
10.34,4.22,4.39,86.85,3.87
10.35,4.32,4.46,88.07,3.87
10.37,4.17,4.53,86.12,3.91
10.38,4.28,4.59,88.56,3.92
10.4,4.33,4.64,89.78,3.94
10.41,4.51,4.68,92.47,3.94
10.42,4.57,4.72,93.21,3.94
10.44,4.42,4.77,91.25,3.9
10.45,4.53,4.83,93.45,3.9
10.46,4.57,4.89,94.43,3.93
10.48,4.77,4.93,97.61,3.95
10.49,4.81,4.98,98.09,3.92
10.5,4.66,5.03,96.14,3.93
10.52,4.77,5.06,98.58,3.93
10.53,4.81,5.12,99.32,3.91
10.54,5.03,5.17,102.49,3.94
10.56,5.03,5.22,102.49,3.94
10.57,4.9,5.26,101.03,3.95
10.58,5.01,5.31,102.98,3.94
10.6,5.04,5.36,103.71,3.94
10.61,5.25,5.39,107.14,3.95
10.62,5.25,5.42,106.89,3.94
10.64,5.11,5.48,105.18,3.91
10.65,5.21,5.53,107.38,3.95
10.66,5.25,5.56,108.11,3.96
10.68,5.45,5.61,111.29,3.96
10.69,5.45,5.65,111.05,3.98
10.7,5.31,5.67,109.34,3.97
10.72,5.42,5.71,111.29,3.95
10.73,5.44,5.75,111.78,3.95
10.74,5.63,5.78,114.71,3.95
10.76,5.64,5.83,114.71,3.95
10.77,5.49,5.87,112.76,3.98
10.78,5.6,5.91,115.2,3.99
10.8,5.63,5.94,115.69,3.99
10.81,5.82,5.98,118.62,4
10.82,5.81,6,118.13,4.01
10.83,5.66,6.03,116.42,4
10.85,5.75,6.07,118.13,3.99
10.86,5.77,6.08,118.38,4.01
10.87,5.97,6.11,121.31,3.98
10.89,5.96,6.15,121.07,4
10.9,5.81,6.2,119.35,4.01
10.91,5.91,6.21,121.07,4.06
10.93,5.92,6.25,121.55,4.04
10.94,6.1,6.26,124.49,4.06
10.95,6.08,6.27,123.75,4.04
