time(s),p(kPa),Voltage(V)
12.86,5.81,4.28
12.87,5.83,4.28
12.89,5.83,4.36
12.9,5.86,4.29
12.91,5.86,4.38
12.92,5.88,4.33
12.93,5.89,4.43
12.95,5.89,4.46
12.96,5.89,4.43
12.97,5.91,4.41
12.98,5.91,4.46
12.99,5.92,4.45
13.01,5.93,4.51
13.02,5.93,4.59
13.03,5.93,4.59
13.04,5.93,4.61
13.05,5.92,4.63
13.07,5.93,4.58
13.08,5.92,4.69
13.09,5.93,4.65
13.1,5.93,4.77
13.11,5.92,4.82
13.13,5.91,4.81
13.14,5.92,4.8
13.15,5.91,4.94
13.16,5.89,4.95
13.18,5.88,4.96
13.19,5.88,4.97
13.2,5.87,5.07
13.21,5.88,5.1
13.22,5.87,5.28
13.24,5.85,5.32
13.25,5.85,5.3
13.26,5.83,5.42
13.27,5.83,5.48
13.28,5.82,5.63
13.3,5.8,5.7
13.31,5.76,5.7
13.32,5.74,5.63
13.33,5.71,5.65
13.35,5.7,5.67
13.36,5.67,5.77
13.37,5.64,5.82
13.38,5.6,5.78
13.39,5.55,5.74
13.41,5.55,5.64
13.42,5.54,5.85
13.43,5.5,5.98
13.44,5.44,5.97
13.45,5.37,5.82
13.47,5.36,5.6
13.48,5.36,5.75
13.49,5.33,5.98
13.5,5.27,6.09
13.51,5.19,5.94
13.53,5.16,5.67
13.54,5.15,5.79
13.55,5.14,5.97
13.56,5.08,6.15
13.57,5,6.05
13.59,4.93,5.87
13.6,4.93,5.7
13.61,4.93,5.97
13.62,4.89,6.27
13.64,4.78,6.33
13.65,4.7,5.93
13.66,4.67,5.7
13.67,4.68,5.87
13.68,4.66,6.24
13.7,4.56,6.39
13.71,4.48,6.13
13.72,4.43,5.89
13.73,4.42,5.9
13.75,4.4,6.14
13.76,4.34,6.4
13.77,4.24,6.35
13.78,4.17,6.05
13.79,4.16,5.93
13.81,4.13,6.21
13.82,4.09,6.38
13.83,4,6.41
13.84,3.93,6.25
