time(s),p(kPa),Voltage(V)
13.94,0.00,5.67
13.95,0.00,5.72
13.96,0.00,5.64
13.98,0.00,5.67
13.99,0.00,5.47
14.00,0.00,5.50
14.02,0.00,5.64
14.03,0.00,5.53
14.04,0.00,5.43
14.06,0.00,5.31
14.07,0.00,5.43
14.08,0.00,5.44
14.09,0.00,5.30
14.11,0.00,5.29
14.12,0.00,5.15
14.13,0.00,5.14
14.15,0.00,5.10
14.16,0.00,5.07
14.17,0.00,4.91
14.19,0.00,4.87
14.20,0.00,4.94
14.21,0.00,5.02
14.22,0.00,4.83
14.24,0.00,4.78
14.25,0.00,4.84
14.26,0.00,4.88
14.28,0.00,5.05
14.29,0.00,4.99
14.30,0.00,4.79
14.32,0.00,4.69
14.33,0.00,4.84
14.34,0.00,5.01
14.35,0.00,5.02
14.37,0.00,4.80
14.38,0.00,4.69
14.39,0.00,4.83
14.41,0.00,4.84
14.42,0.00,4.84
14.43,0.00,4.85
14.45,0.00,4.72
14.46,0.00,4.60
14.47,0.00,4.71
14.48,0.00,5.04
14.50,0.00,5.05
14.51,0.00,4.67
14.52,0.00,4.50
14.54,0.00,4.86
14.55,0.00,5.20
14.56,0.00,4.79
14.58,0.00,4.51
14.59,0.00,4.74
14.60,0.00,5.07
14.62,0.00,4.76
14.63,0.00,4.47
14.64,0.00,4.57
14.65,0.00,4.99
14.67,0.00,4.94
14.68,0.00,4.52
14.69,0.00,4.34
14.71,0.00,4.89
14.72,0.00,5.20
14.73,0.00,4.50
14.75,0.00,4.22
14.76,0.00,4.77
14.77,0.00,5.31
14.78,0.00,4.73
14.80,0.00,4.19
14.81,0.00,4.49
14.82,0.00,5.13
14.84,0.00,4.93
14.85,0.00,4.39
14.86,0.00,4.05
14.88,0.00,4.70
14.89,0.00,5.23
14.90,0.00,4.45
14.92,0.00,3.98
14.93,0.00,4.63
14.94,0.00,5.28
14.96,0.00,4.59
14.97,0.00,4.02
14.98,0.00,4.43
14.99,0.00,5.17
15.01,0.00,4.75
15.02,0.00,4.06
15.03,0.00,4.07
15.05,0.00,4.97
15.06,0.00,5.15
15.07,0.00,4.34
15.09,0.00,3.99
15.10,0.00,4.64
15.11,0.00,5.07
15.13,0.00,4.36
15.14,0.00,3.79
15.15,0.00,4.69
15.16,0.00,5.47
15.18,0.00,4.54
15.19,0.00,3.98
15.20,0.00,4.37
15.22,0.00,5.30
15.23,0.00,4.86
